,Description,Lat,Lon,RackType,RackCount,ShelterIndicator,geometry,within
85,ALEXANDRA VIEW 1,1.2904457702480692,103.8185567238314,Yellow Box,10,N,POINT (103.8185567238314 1.2904457702480692),REDHILL
86,150122-2,1.286335767774649,103.80405762632928,HDB_RACKS,4,N,POINT (103.80405762632928 1.286335767774649),ALEXANDRA HILL
87,ALEXANDRA VIEW 2,1.29070229332084,103.81655406421572,Yellow Box,10,N,POINT (103.81655406421572 1.29070229332084),REDHILL
88,150123-1,1.2866011063195475,103.803676195334,HDB_RACKS,3,N,POINT (103.803676195334 1.2866011063195475),ALEXANDRA HILL
89,150124-1,1.285816366027957,103.8034602489528,HDB_RACKS,4,N,POINT (103.8034602489528 1.285816366027957),ALEXANDRA HILL
90,151006-1,1.2849185301776676,103.8167776496764,HDB_RACKS,6,N,POINT (103.8167776496764 1.2849185301776676),REDHILL
91,151013-1,1.285315738326898,103.81718061841464,HDB_RACKS,2,N,POINT (103.81718061841464 1.285315738326898),REDHILL
92,151014-1,1.2857438627611004,103.81699760856203,HDB_RACKS,8,N,POINT (103.81699760856203 1.2857438627611004),REDHILL
93,151055-1,1.287198391548403,103.81341689659894,HDB_RACKS,32,N,POINT (103.81341689659894 1.287198391548403),ALEXANDRA HILL
94,BUS STOP 10109,1.2854196478535307,103.8132676020707,Yellow Box,10,N,POINT (103.8132676020707 1.2854196478535307),ALEXANDRA HILL
95,BUS STOP 10111,1.28591726570786,103.80913853514252,Yellow Box,10,N,POINT (103.80913853514252 1.28591726570786),ALEXANDRA HILL
96,BUS STOP 10181,1.2885130051969569,103.82074080770276,Yellow Box,10,N,POINT (103.82074080770276 1.2885130051969569),HENDERSON HILL
97,BUS STOP 10189,1.2886114217142617,103.82191904711628,Yellow Box,10,N,POINT (103.82191904711628 1.2886114217142617),HENDERSON HILL
98,BUS STOP 10199,1.288721620877341,103.81950382105624,Yellow Box,10,N,POINT (103.81950382105624 1.288721620877341),HENDERSON HILL
99,BUS STOP 10201,1.289438837111026,103.81648613195192,Yellow Box,16,N,POINT (103.81648613195192 1.289438837111026),REDHILL
100,151096-1,1.2878835349824107,103.82190514233012,HDB_RACKS,7,N,POINT (103.82190514233012 1.2878835349824107),HENDERSON HILL
101,BUS STOP 10271,1.2912143658178323,103.8173578973088,Yellow Box,16,N,POINT (103.8173578973088 1.2912143658178323),REDHILL
102,BUS STOP 10281,1.291512067869966,103.81457799296052,Yellow Box,20,N,POINT (103.81457799296052 1.291512067869966),ALEXANDRA HILL
103,BUS STOP 10339,1.2810697065273609,103.8184873802398,Yellow Box,10,N,POINT (103.8184873802398 1.2810697065273609),BUKIT MERAH
104,BUS STOP 10351,1.2868534889941712,103.8221067924552,Yellow Box,10,N,POINT (103.8221067924552 1.2868534889941712),HENDERSON HILL
105,BUS STOP 10371,1.283565925118904,103.82444334745298,Yellow Box,10,N,POINT (103.82444334745298 1.283565925118904),HENDERSON HILL
106,BUS STOP 10401,1.2881540367679625,103.81157514939764,Yellow Box,10,N,POINT (103.81157514939764 1.2881540367679625),ALEXANDRA HILL
107,BUS STOP 10421,1.2888790785649331,103.81508396159025,Yellow Box,10,N,POINT (103.81508396159025 1.2888790785649331),ALEXANDRA HILL
108,152096-1,1.2880979767142375,103.82133801710148,HDB_RACKS,5,N,POINT (103.82133801710148 1.2880979767142375),HENDERSON HILL
109,BUS STOP 10501,1.2811105314242603,103.82518842208324,Yellow Box,10,N,POINT (103.82518842208324 1.2811105314242603),KAMPONG TIONG BAHRU
110,BUS STOP 11019,1.2868212355343316,103.805441184187,Yellow Box,10,N,POINT (103.805441184187 1.2868212355343316),ALEXANDRA HILL
111,BUS STOP 11021,1.2893702766739314,103.80232142200155,Yellow Box,10,N,POINT (103.80232142200155 1.2893702766739314),QUEENSWAY
112,BUS STOP 11029,1.2902007694417077,103.80199792321793,Yellow Box,10,N,POINT (103.80199792321793 1.2902007694417077),MEI CHIN
113,152096-2,1.2880069723272694,103.8211947816814,HDB_RACKS,5,N,POINT (103.8211947816814 1.2880069723272694),HENDERSON HILL
114,BUS STOP 11139,1.2931933242547262,103.80731708038527,Yellow Box,10,N,POINT (103.80731708038527 1.2931933242547262),MARGARET DRIVE
115,152096-3,1.2882714234915598,103.82116658089306,HDB_RACKS,5,N,POINT (103.82116658089306 1.2882714234915598),HENDERSON HILL
116,153095-1,1.287283451167588,103.8218630694946,HDB_RACKS,7,N,POINT (103.8218630694946 1.287283451167588),HENDERSON HILL
117,BUS STOP 11521,1.2886601899859331,103.80548332220032,Yellow Box,8,N,POINT (103.80548332220032 1.2886601899859331),MEI CHIN
118,BUS STOP 11529,1.2890547969703987,103.80614706053406,Yellow Box,6,N,POINT (103.80614706053406 1.2890547969703987),ALEXANDRA HILL
119,BUS STOP 11531,1.2908716328180876,103.80730023249204,Yellow Box,10,N,POINT (103.80730023249204 1.2908716328180876),MEI CHIN
120,BUS STOP 14021,1.2713711254576014,103.82472688158812,Yellow Box,6,N,POINT (103.82472688158812 1.2713711254576014),MARITIME SQUARE
121,BUS STOP 14029,1.2724574173435104,103.82425365985316,Yellow Box,10,N,POINT (103.82425365985316 1.2724574173435104),TELOK BLANGAH RISE
122,BUS STOP 14031,1.276253102380073,103.82303332191285,Yellow Box,10,N,POINT (103.82303332191285 1.276253102380073),TELOK BLANGAH WAY
123,BUS STOP 14039,1.276773171847428,103.82349099254826,Yellow Box,15,N,POINT (103.82349099254826 1.276773171847428),TELOK BLANGAH RISE
124,BUS STOP 14101,1.2682832310230516,103.82820470774767,Yellow Box,10,N,POINT (103.82820470774767 1.2682832310230516),TANJONG PAGAR
125,BUS STOP 14109,1.2681976909049653,103.827312160561,Yellow Box,10,N,POINT (103.827312160561 1.2681976909049653),TANJONG PAGAR
126,BUS STOP 14121,1.2659986837545767,103.81893355260748,Yellow Box,10,N,POINT (103.81893355260748 1.2659986837545767),MARITIME SQUARE
127,BUS STOP 14131,1.2673370548112513,103.816863754483,Yellow Box,16,N,POINT (103.816863754483 1.2673370548112513),MARITIME SQUARE
128,BUS STOP 14139,1.2684411488231695,103.81621853995362,Yellow Box,8,N,POINT (103.81621853995362 1.2684411488231695),MARITIME SQUARE
129,BUS STOP 14151,1.269706701793136,103.81286115567436,Yellow Box,16,N,POINT (103.81286115567436 1.269706701793136),MARITIME SQUARE
130,BUS STOP 14169,1.2711577586661733,103.80944771264268,Yellow Box,10,N,POINT (103.80944771264268 1.2711577586661733),TELOK BLANGAH DRIVE
131,BUS STOP 14191,1.2811801638065872,103.81225469728436,Yellow Box,9,N,POINT (103.81225469728436 1.2811801638065872),DEPOT ROAD
132,BUS STOP 14201,1.281640877952165,103.80924759100692,Yellow Box,10,N,POINT (103.80924759100692 1.281640877952165),DEPOT ROAD
133,BUS STOP 14221,1.273662362529545,103.82891988783108,Yellow Box,10,N,POINT (103.82891988783108 1.273662362529545),TANJONG PAGAR
134,BUS STOP 14231,1.2709156419101963,103.8265996590985,Yellow Box,10,N,POINT (103.8265996590985 1.2709156419101963),TANJONG PAGAR
135,BUS STOP 14239,1.2717170489673673,103.82705303166028,Yellow Box,20,N,POINT (103.82705303166028 1.2717170489673673),TELOK BLANGAH RISE
136,BUS STOP 14271,1.2756320101729557,103.81919118365651,Yellow Box,10,N,POINT (103.81919118365651 1.2756320101729557),MARITIME SQUARE
137,BUS STOP 14291,1.2747192383211687,103.8212569351324,Yellow Box,10,N,POINT (103.8212569351324 1.2747192383211687),TELOK BLANGAH RISE
138,BUS STOP 14341,1.275750933602819,103.81387615678682,Yellow Box,10,N,POINT (103.81387615678682 1.275750933602819),TELOK BLANGAH DRIVE
139,BUS STOP 14349,1.2757221808227417,103.81345218256784,Yellow Box,5,N,POINT (103.81345218256784 1.2757221808227417),TELOK BLANGAH DRIVE
140,BUS STOP 14351,1.272672572819924,103.80991959755542,Yellow Box,10,N,POINT (103.80991959755542 1.272672572819924),TELOK BLANGAH DRIVE
141,BUS STOP 14369,1.281432622416852,103.80342337151622,Yellow Box,16,N,POINT (103.80342337151622 1.281432622416852),DEPOT ROAD
142,BUS STOP 14379,1.2724404988570268,103.82379158239836,Yellow Box,10,N,POINT (103.82379158239836 1.2724404988570268),TELOK BLANGAH RISE
143,BUS STOP 14491,1.272766823360285,103.80793164080744,Yellow Box,15,N,POINT (103.80793164080744 1.272766823360285),TELOK BLANGAH DRIVE
144,BUS STOP 15041_B,1.2747156553493633,103.80180942824036,Yellow Box,6,N,POINT (103.80180942824036 1.2747156553493633),PASIR PANJANG 2
145,BUS STOP 15051,1.277072198562178,103.802359332985,Yellow Box,10,N,POINT (103.802359332985 1.277072198562178),PASIR PANJANG 2
