MRT.Name,Latitude,Longitude,time_difference,distance,steepness,suitability,approximated?,Weighted_Score,rank
BRADDELL MRT STATION,1.340469001,103.8467991,3.2866666663333333,0.6285999999999999,0.0,6.976665344292111,0.0,6.770278941967022,104
HAVELOCK MRT STATION,1.28850524,103.8335858,4.473333333333334,0.6683999999999999,1.0,6.517982181882476,0.0,6.770039078839315,105
SEMBAWANG MRT STATION,1.449050822,103.8200461,3.3900000002666673,0.7051999999999999,0.6,7.013038134631901,0.0,6.765390507812189,106
LAKESIDE MRT STATION,1.344259115,103.7209491,4.0800000007333335,0.852,0.0,6.614472318289049,0.0,6.753177854924573,107
PETIR LRT STATION,1.377772043,103.7666458,2.4433333332666662,0.8088000000000001,0.4,7.4662325740082505,0.0,6.748559392513267,108
TECK WHYE LRT STATION,1.376684679,103.7537122,5.703333333133334,0.8592000000000001,0.6,5.866221531989948,0.0,6.742470558845293,109
MAYFLOWER MRT STATION,1.371463188,103.8365678,3.0566666667333338,0.43220000000000003,0.2,7.020369942560673,0.0,6.732522620741873,110
SOUTH VIEW LRT STATION,1.380298287,103.7452918,4.0033333332,0.6842,0.0,6.580490674430439,0.0,6.7288858728243515,111
REDHILL MRT STATION,1.289634534,103.816741,3.906666666666667,0.7514000000000001,0.6,6.708425422939081,0.0,6.719127005017932,112
PIONEER MRT STATION,1.337587011,103.6973216,1.5866666668666667,0.7729999999999999,0.2,7.816998999912204,0.0,6.71366586667643,113
COVE LRT STATION,1.399281988,103.9059619,2.0966666666,0.5262,0.4,7.506453742355035,0.0,6.698589660524028,114
BRIGHT HILL MRT STATION,1.363846766,103.8338992,5.849999999266667,0.8868,0.0,5.617644811444876,0.0,6.656755848862568,115
YIO CHU KANG MRT STATION,1.381498825,103.8451707,6.249999999999998,1.3157999999999999,0.22502037862234872,5.515098143459306,0.0,6.62641647690521,116
STADIUM MRT STATION,1.302812468,103.8753377,2.593333332666666,2.3784,0.0,7.4981210082372085,1.0,6.560150139656433,117
COMPASSVALE LRT STATION,1.394493045,103.9004925,2.019999999866667,0.7804,0.2,7.379725628663884,0.0,6.535700502877775,118
