,Unnamed: 0,Latitude_x,Longitude_x,index_x,join_key,Latitude_y,Longitude_y,index_y,euclidean_distance,coordinate_pair,distance,duration,centroid_name,MRT_Name
71,71,1.322619880370448,103.86129903653968,44,A,1.319939577,103.8620527,69,0.3095881782763618,"coordinate_pair(lat_x=1.3226198803704479, lon_x=103.86129903653968, lat_y=1.319939577, lon_y=103.8620527)",0.668,6.833333333333333,3 SAINT GEORGE'S ROAD,BOON KENG MRT STATION
72,70,1.3255934996231975,103.86470747486914,116,A,1.319939577,103.8620527,69,0.6945092594257395,"coordinate_pair(lat_x=1.3255934996231975, lon_x=103.86470747486914, lat_y=1.319939577, lon_y=103.8620527)",1.494,11.65,6B SAINT MICHAEL'S ROAD,BOON KENG MRT STATION
73,72,1.3222808862876692,103.86843063407994,150,A,1.319939577,103.8620527,69,0.7552923008874887,"coordinate_pair(lat_x=1.3222808862876692, lon_x=103.86843063407994, lat_y=1.319939577, lon_y=103.8620527)",1.823,14.133333333333333,59C GEYLANG BAHRU,BOON KENG MRT STATION
74,73,1.322109946768817,103.85555183905691,189,A,1.319939577,103.8620527,69,0.7619022195213783,"coordinate_pair(lat_x=1.322109946768817, lon_x=103.85555183905691, lat_y=1.319939577, lon_y=103.8620527)",2.005,12.5,WHAMPOA VIEW,BOON KENG MRT STATION
75,75,1.3375863284393408,103.7019233109752,50,A,1.338610339,103.7060849,124,0.4764281102150164,"coordinate_pair(lat_x=1.3375863284393408, lon_x=103.7019233109752, lat_y=1.338610339, lon_y=103.7060849)",0.883,5.516666666666667,MULTI STOREY CAR PARK,BOON LAY MRT STATION
76,76,1.3433715679969556,103.7061269124601,86,A,1.338610339,103.7060849,124,0.529445108036764,"coordinate_pair(lat_x=1.3433715679969556, lon_x=103.7061269124601, lat_y=1.338610339, lon_y=103.7060849)",0.83,5.7,693 JURONG WEST CENTRAL 1,BOON LAY MRT STATION
77,77,1.3440905883320242,103.70255473700657,115,A,1.338610339,103.7060849,124,0.7248029115129838,"coordinate_pair(lat_x=1.3440905883320242, lon_x=103.70255473700657, lat_y=1.338610339, lon_y=103.7060849)",1.774,11.116666666666667,671A JURONG WEST STREET 65,BOON LAY MRT STATION
78,78,1.3420858957952733,103.69820792668644,126,A,1.338610339,103.7060849,124,0.95713098836157,"coordinate_pair(lat_x=1.3420858957952733, lon_x=103.69820792668644, lat_y=1.338610339, lon_y=103.7060849)",1.87,11.883333333333333,636 JURONG WEST STREET 65,BOON LAY MRT STATION
79,79,1.3368045819102523,103.69613969827118,261,A,1.338610339,103.7060849,124,1.1236405053161644,"coordinate_pair(lat_x=1.3368045819102523, lon_x=103.69613969827118, lat_y=1.338610339, lon_y=103.7060849)",2.225,13.633333333333333,653A JURONG WEST STREET 61,BOON LAY MRT STATION
80,80,1.3229489913602497,103.81073588026833,56,A,1.322113736,103.8149845,58,0.4813443989202817,"coordinate_pair(lat_x=1.3229489913602497, lon_x=103.81073588026833, lat_y=1.322113736, lon_y=103.8149845)",2.443,24.75,KING'S ARCADE,BOTANIC GARDENS MRT STATION
81,81,1.3174194918058788,103.81180332860548,135,A,1.322113736,103.8149845,58,0.6304900556887766,"coordinate_pair(lat_x=1.3174194918058788, lon_x=103.81180332860548, lat_y=1.322113736, lon_y=103.8149845)",2.406,24.35,100 GALLOP PARK ROAD,BOTANIC GARDENS MRT STATION
82,82,1.3272082605835436,103.81823850116736,127,A,1.322113736,103.8149845,58,0.6721275326853368,"coordinate_pair(lat_x=1.3272082605835436, lon_x=103.81823850116736, lat_y=1.322113736, lon_y=103.8149845)",2.747,30.416666666666668,CAPITOL PARK,BOTANIC GARDENS MRT STATION
83,83,1.321812680459118,103.8220597530167,36,A,1.322113736,103.8149845,58,0.7872349171427434,"coordinate_pair(lat_x=1.321812680459118, lon_x=103.8220597530167, lat_y=1.322113736, lon_y=103.8149845)",1.973,24.85,BUKIT TIMAH ROAD,BOTANIC GARDENS MRT STATION
84,84,1.3209450050873464,103.80665666284908,80,A,1.322113736,103.8149845,58,0.9348439576004978,"coordinate_pair(lat_x=1.3209450050873464, lon_x=103.80665666284908, lat_y=1.322113736, lon_y=103.8149845)",3.065,28.73333333333333,NANYANG PRIMARY SCHOOL,BOTANIC GARDENS MRT STATION
85,85,1.340246889111359,103.84736998160729,127,A,1.340469001,103.8467991,33,0.0680982621032323,"coordinate_pair(lat_x=1.340246889111359, lon_x=103.84736998160729, lat_y=1.340469001, lon_y=103.8467991)",0.377,2.4833333333333334,BRADDELL HOUSE,BRADDELL MRT STATION
86,86,1.3360059311304937,103.8446622541132,231,A,1.340469001,103.8467991,33,0.550191468801538,"coordinate_pair(lat_x=1.3360059311304935, lon_x=103.8446622541132, lat_y=1.340469001, lon_y=103.8467991)",1.037,6.733333333333333,THE PEAK @ TOA PAYOH,BRADDELL MRT STATION
87,87,1.3354185604972366,103.84857162756762,269,A,1.340469001,103.8467991,33,0.5951483465655882,"coordinate_pair(lat_x=1.3354185604972366, lon_x=103.84857162756762, lat_y=1.340469001, lon_y=103.8467991)",1.086,7.633333333333334,80 LORONG 4 TOA PAYOH,BRADDELL MRT STATION
88,88,1.3365152581552813,103.85257763525732,8,A,1.340469001,103.8467991,33,0.7784068380628446,"coordinate_pair(lat_x=1.3365152581552813, lon_x=103.85257763525732, lat_y=1.340469001, lon_y=103.8467991)",1.147,7.733333333333333,TOA PAYOH VISTA,BRADDELL MRT STATION
89,89,1.3481371699232108,103.85006389464333,66,A,1.340469001,103.8467991,33,0.9266870185267588,"coordinate_pair(lat_x=1.3481371699232108, lon_x=103.85006389464333, lat_y=1.340469001, lon_y=103.8467991)",2.335,14.633333333333333,BISHAN SPRING,BRADDELL MRT STATION
90,90,1.3001754928952325,103.85261752754148,125,A,1.296861686,103.8506674,90,0.4275204250553977,"coordinate_pair(lat_x=1.3001754928952323, lon_x=103.85261752754148, lat_y=1.296861686, lon_y=103.8506674)",0.467,2.95,FORTUNE CENTRE,BRAS BASAH MRT STATION
91,90,1.2979025506259088,103.856830991058,115,A,1.296861686,103.8506674,90,0.694890705229592,"coordinate_pair(lat_x=1.2979025506259088, lon_x=103.856830991058, lat_y=1.296861686, lon_y=103.8506674)",1.092,8.183333333333334,2 LIANG SEAH STREET,BRAS BASAH MRT STATION
92,91,1.3027162422524157,103.84837247621884,147,A,1.296861686,103.8506674,90,0.6992012152523458,"coordinate_pair(lat_x=1.3027162422524157, lon_x=103.84837247621884, lat_y=1.296861686, lon_y=103.8506674)",0.989,6.4,11 UPPER WILKIE ROAD,BRAS BASAH MRT STATION
93,92,1.2972337943804126,103.84097632354472,82,A,1.296861686,103.8506674,90,1.0781167090231845,"coordinate_pair(lat_x=1.2972337943804126, lon_x=103.84097632354472, lat_y=1.296861686, lon_y=103.8506674)",1.443,8.716666666666667,OXLEY RESIDENCE,BRAS BASAH MRT STATION
