,PLANNING_A,PLANNING_1,geometry,within
2249,,PASIR RIS,"LINESTRING (103.95983113418613 1.3678377755144864, 103.95983387458456 1.3678333412818064, 103.9600628106649 1.367678670550806, 103.96013560167225 1.3676247061100308)",PASIR RIS DRIVE
2250,,SENGKANG,"LINESTRING (103.89575848567486 1.3927899090903175, 103.8959034314519 1.3928800476613807)",SENGKANG TOWN CENTRE
2251,,YISHUN,"LINESTRING (103.84567418008035 1.4252588860092836, 103.84563543800351 1.4252198963796932)",YISHUN EAST
2252,,YISHUN,"LINESTRING (103.84607987432783 1.4286862327579275, 103.84608457321951 1.4285504985762083)",YISHUN EAST
2253,,SEMBAWANG,"LINESTRING (103.82153205773908 1.4436725707759615, 103.82139869985838 1.4435880672364068, 103.82122894076679 1.443483348252688)",SEMBAWANG CENTRAL
2254,,SEMBAWANG,"LINESTRING (103.82301578105312 1.4461627398352863, 103.8230974143683 1.4459539452427546)",SEMBAWANG CENTRAL
2255,,YISHUN,"LINESTRING (103.84244850531381 1.426788206610488, 103.8424929099783 1.4267481856202233)",YISHUN EAST
2256,,YISHUN,"LINESTRING (103.84308664422026 1.4261946672787482, 103.8431332684573 1.4261719756863884, 103.84335332551127 1.4259681320281692)",YISHUN EAST
2257,,YISHUN,"LINESTRING (103.84336645837924 1.4259566763938611, 103.84354453515452 1.4257902590940208)",YISHUN EAST
2258,,YISHUN,"LINESTRING (103.84355989381515 1.4257750033117944, 103.84360629958789 1.4257312373202284)",YISHUN EAST
2259,,YISHUN,"LINESTRING (103.84362247956169 1.4257162564605046, 103.8437057768585 1.4256388316872914, 103.84372876004446 1.4256186742173398)",YISHUN EAST
2260,,GEYLANG,"LINESTRING (103.88948334082576 1.3083752749318223, 103.88951125431696 1.3083802908118085)",ALJUNIED
2261,,TAMPINES,"LINESTRING (103.9552142118252 1.3437993515304747, 103.95550006363636 1.3440448643218914)",SIMEI
2262,,TAMPINES,"LINESTRING (103.95753319546195 1.3418149834021265, 103.95744586372055 1.3417436788898474)",SIMEI
2263,,TAMPINES,"LINESTRING (103.95646560232328 1.3446455563255832, 103.95649013225619 1.3446489744745507, 103.95659678608708 1.3446543852839854, 103.95661611047412 1.3446539393557315)",SIMEI
2264,,TAMPINES,"LINESTRING (103.95766022241696 1.3452381005201586, 103.9576718683036 1.3453556634084765, 103.95768178440109 1.345454211262918, 103.95768058617216 1.34549857391403)",SIMEI
2265,,TAMPINES,"LINESTRING (103.95753747091885 1.3437044430308838, 103.95754168820723 1.3436402683586381, 103.9575470482386 1.3435538788712178, 103.95755508745857 1.3434790876938048)",SIMEI
2266,,TAMPINES,"LINESTRING (103.9569912223159 1.3446244226769721, 103.95704973530256 1.3446189826672261, 103.95733450710222 1.344593245350001)",SIMEI
2267,,TAMPINES,"LINESTRING (103.95402448506402 1.3428113398109476, 103.95420823871359 1.3429628855453801)",SIMEI
2268,,TAMPINES,"LINESTRING (103.95755942806109 1.3434368998725734, 103.95756841806623 1.343382091436909)",SIMEI
2269,,TAMPINES,"LINESTRING (103.9585702556841 1.3414873638337539, 103.95852487575225 1.3415567117695089, 103.95831907465836 1.3418771533059892, 103.95822582065527 1.342021513319197, 103.95819559363353 1.342066181327892, 103.95817402833845 1.3420858043852446, 103.95814327618226 1.3420876264459587)",SIMEI
2270,,TAMPINES,"LINESTRING (103.95691112721384 1.3412917537410625, 103.95684349702469 1.341233183433454, 103.95683571158389 1.341226467129354, 103.9568190276887 1.3412190051780544, 103.95679752491274 1.341213222872227, 103.95677583743596 1.3412154631743451, 103.95675433522085 1.3412208741614045, 103.95673227695728 1.341229457679785, 103.95671559524091 1.341247554817595, 103.9565635803108 1.3414346099906216)",SIMEI
2271,,PASIR RIS,"MULTILINESTRING ((103.95751001808429 1.3654147531066838, 103.95741829200573 1.3654244752442781, 103.95729663790564 1.3655148571866724), (103.95720491361256 1.3655595627591468, 103.95717164599473 1.3655598701584248, 103.95713890432658 1.365565810802102, 103.95710762400708 1.3655772146216616, 103.95707869729613 1.365593756000561, 103.95705295085081 1.365614962819007, 103.95703111966768 1.3656402291163878))",PASIR RIS DRIVE
2272,,PASIR RIS,"LINESTRING (103.9379724708113 1.379666476864137, 103.93797039243265 1.3796669255200096, 103.93795092714633 1.3796781540442546, 103.93793903398094 1.3796859546987124, 103.93771473942624 1.379849396517181, 103.93762887691275 1.379904257139596)",ELIAS
2273,,PASIR RIS,"LINESTRING (103.93770055950101 1.3787046530203717, 103.93757905952842 1.378529404639142)",ELIAS
2274,,PASIR RIS,"LINESTRING (103.95055294811475 1.3700662395024652, 103.95064017732466 1.370024532344003, 103.95081438740381 1.3699528720282466)",PASIR RIS TOWN
2275,,PASIR RIS,"LINESTRING (103.94609271816138 1.376501297058838, 103.94611723685534 1.3764881916798215, 103.94616107074789 1.3764647602747364, 103.94618954822155 1.3764638825915483, 103.94626981915519 1.3764210364043463)",PASIR RIS TOWN
2276,,PASIR RIS,"LINESTRING (103.94301931301449 1.3784517190638728, 103.94299685756239 1.3784683088269152, 103.94288822028912 1.3785485669922293, 103.94277267388313 1.3786090334979766, 103.9427583978599 1.3786197363847625)",ELIAS
2277,,PASIR RIS,"LINESTRING (103.94852572960328 1.375264630861091, 103.94855328600848 1.3752634149639613, 103.94856217824398 1.375263022943086, 103.94857821577847 1.3752598351908096, 103.94917771989552 1.375023949181139, 103.94943850787755 1.3749386812864481, 103.94955874558174 1.3749014663136343, 103.94973030562679 1.374855979328325, 103.9498067632632 1.3748391001744642, 103.94985295287982 1.3748289030296392)",PASIR RIS TOWN
2278,,PASIR RIS,"LINESTRING (103.94390615432157 1.3777751350360274, 103.9441251024719 1.377627879207118)",ELIAS
2279,,PASIR RIS,"LINESTRING (103.95102733806 1.3727818380972314, 103.95105863234028 1.3728144587055624)",PASIR RIS TOWN
2280,,PASIR RIS,"LINESTRING (103.96047565268199 1.3673664184805796, 103.96065694239365 1.3672163606762782, 103.96066113222061 1.367212722204112)",PASIR RIS DRIVE
2281,,PASIR RIS,"LINESTRING (103.96059193409802 1.3726217577824575, 103.96072233577128 1.3731559122210606, 103.96072611802015 1.3731761037089234, 103.9607263321907 1.3731989514993552)",PASIR RIS DRIVE
2282,,PASIR RIS,"LINESTRING (103.96094141562742 1.3669677209761777, 103.96098747850071 1.366926690319367)",PASIR RIS DRIVE
2283,,PASIR RIS,"LINESTRING (103.95132261776611 1.3747208350712976, 103.95133175278754 1.3747240134506058, 103.9513367039943 1.3747257360146166, 103.95135097982407 1.3747307020625115, 103.95145996346974 1.3747418962625544, 103.95166665108546 1.374765813582219, 103.95169779302542 1.3747696691342137)",PASIR RIS TOWN
2284,,PASIR RIS,"LINESTRING (103.94033693503478 1.3756401503675304, 103.94067435238458 1.375386863836498)",ELIAS
2285,,PASIR RIS,"LINESTRING (103.93878957488542 1.3767799590548464, 103.93899686131758 1.3766253408789564, 103.93905238311662 1.3765839267307192)",ELIAS
2286,,PASIR RIS,"LINESTRING (103.95945835274341 1.364478309773961, 103.95968501941793 1.3643015076722933)",PASIR RIS DRIVE
2287,,PASIR RIS,"LINESTRING (103.95812047940593 1.365421381021714, 103.95812199425839 1.3654188442067337, 103.95813195311032 1.3654021672482324, 103.95815142949868 1.3653839297677557, 103.95849716226516 1.3651638007847908, 103.95871896119824 1.365015026105431)",PASIR RIS DRIVE
2288,,PASIR RIS,"LINESTRING (103.95973798413112 1.3642600308261914, 103.9597498159666 1.3642507803849502, 103.95995415232635 1.364091032093726)",PASIR RIS DRIVE
2289,,PASIR RIS,"LINESTRING (103.960670574831 1.3672045254668104, 103.96086178206117 1.3670385403996106)",PASIR RIS DRIVE
2290,,PASIR RIS,"LINESTRING (103.94619623758004 1.372702028245738, 103.94645206459911 1.3726008712762743)",PASIR RIS TOWN
2291,,PASIR RIS,"LINESTRING (103.95858617649603 1.3685367847295817, 103.95863463322586 1.3685130788516002)",PASIR RIS DRIVE
2292,,PASIR RIS,"LINESTRING (103.94108190198682 1.3763904807803937, 103.94114143990161 1.3768991603450929)",ELIAS
2293,,PASIR RIS,"LINESTRING (103.9476207099952 1.375699298565016, 103.94776169597151 1.3756285751454838)",PASIR RIS TOWN
2294,,YISHUN,"LINESTRING (103.83286203553922 1.430612149034047, 103.83310123214554 1.4306064886578087, 103.83317494556805 1.430604999176918, 103.83322364304584 1.430605147495447)",YISHUN WEST
2295,,YISHUN,"LINESTRING (103.83344001357929 1.4306189272870522, 103.83362178376953 1.4306128626075596)",YISHUN WEST
2296,,YISHUN,"LINESTRING (103.8308688554208 1.4305894771588448, 103.83091269689672 1.4305916250698583, 103.83100560516802 1.4305978842685576, 103.8312397822161 1.4306119138914613)",YISHUN WEST
2297,,JURONG EAST,"LINESTRING (103.74840466737407 1.3196973031480626, 103.74839263678396 1.3196146050084312, 103.74827428960765 1.3193213022386896)",TEBAN GARDENS
2298,,JURONG EAST,"LINESTRING (103.74468606956795 1.3289855649053774, 103.74474361119962 1.3290356696253967, 103.74487827204014 1.3292153516150391)",JURONG REGIONAL CENTRE
2299,,JURONG EAST,"LINESTRING (103.74546547010738 1.3301312505835534, 103.74545739340441 1.3301197883909786, 103.74541511493392 1.3300597886871282, 103.74539090078987 1.3300313546301217)",JURONG REGIONAL CENTRE
2300,,JURONG EAST,"LINESTRING (103.73827633773047 1.3336906740544405, 103.73830359010579 1.3337121347503342, 103.73834185822635 1.3337713738422488, 103.73839038110839 1.3338425807714358, 103.7384202870022 1.3338853990131)",JURONG REGIONAL CENTRE
2301,,JURONG EAST,"LINESTRING (103.73841994193496 1.3338859669398775, 103.73845043987379 1.3339315091464852, 103.73848468911176 1.3339815696973814, 103.73850521638042 1.3340113602209156, 103.73856416228796 1.3340886575339446, 103.73864098221492 1.3341910380545243)",JURONG REGIONAL CENTRE
2302,,JURONG EAST,"LINESTRING (103.7388956393155 1.3346849632163345, 103.73890550497022 1.3347449907125317, 103.73891750494384 1.3347985312931188, 103.73892274808935 1.3348438229148198, 103.73893217569487 1.3349392978184562, 103.73894090577012 1.3350413546512852, 103.73894284980445 1.3351000560446789)",JURONG REGIONAL CENTRE
2303,,JURONG EAST,"LINESTRING (103.74293562314578 1.32944962852807, 103.74278953053354 1.3295549860054268)",JURONG REGIONAL CENTRE
2304,,JURONG WEST,"LINESTRING (103.72383199844647 1.3505987664896317, 103.72398310178569 1.3505714615796838, 103.72417659194824 1.350486452995574)",HONG KAH
2305,,JURONG EAST,"LINESTRING (103.73681935818834 1.3430240895985177, 103.73688182476833 1.3429873432812678, 103.73699866428116 1.342922009485362, 103.73706843801595 1.342883298271434)",YUHUA
2306,,JURONG EAST,"LINESTRING (103.73741118570322 1.3426889931147443, 103.73748614428406 1.3426458479996382, 103.73780466538263 1.3424638086093807)",YUHUA
2307,,JURONG EAST,"LINESTRING (103.73706853056957 1.3428832467264025, 103.73708467803277 1.3428741630378416)",YUHUA
2308,,JURONG EAST,"LINESTRING (103.73878457696445 1.3429623391957042, 103.73871816369213 1.342841903460111)",YUHUA
2309,,JURONG EAST,"LINESTRING (103.74103699650405 1.3435326712059765, 103.74095833385994 1.3435340274724594, 103.74075823011462 1.3435324218410252)",YUHUA
2310,,JURONG EAST,"LINESTRING (103.73901929868846 1.3417641104094524, 103.73890502480438 1.341825807061559)",YUHUA
2311,,JURONG EAST,"LINESTRING (103.73890648477717 1.342837894510532, 103.73885439891302 1.3427438314720321)",YUHUA
2312,,JURONG EAST,"LINESTRING (103.74405240864766 1.3406327157525075, 103.74406372353614 1.3406260953231826, 103.74420001989728 1.3405429377740878)",TOH GUAN
2313,,JURONG EAST,"LINESTRING (103.74702815083894 1.338930923191706, 103.7469709664367 1.3389358924513626)",TOH GUAN
2314,,JURONG EAST,"LINESTRING (103.74624292581508 1.339094825597017, 103.74616215333612 1.3391514150604704)",TOH GUAN
2315,,JURONG EAST,"LINESTRING (103.74719471602693 1.3388937850692448, 103.74715002496693 1.338904722669535)",TOH GUAN
2316,,JURONG EAST,"LINESTRING (103.74624292581508 1.339094825597017, 103.74628407873863 1.3390731585192424)",TOH GUAN
2317,,PUNGGOL,"LINESTRING (103.91395628418792 1.3997434513664129, 103.9138811277819 1.399637755616507, 103.91370043443027 1.3993867992670628)",SZ5
2318,,PUNGGOL,"LINESTRING (103.91326889246145 1.3981791564531638, 103.91327978553217 1.3981402820284046, 103.91328988203325 1.3981153375370627, 103.91330925173945 1.3980862109524808, 103.91335040546223 1.3980493920119315, 103.91389159155267 1.397655451783442)",SZ5
2319,,PUNGGOL,"LINESTRING (103.91715933547154 1.3953640649435124, 103.91714602329301 1.395422449295029, 103.91714982816379 1.39545594857724)",SZ5
2320,,PUNGGOL,"LINESTRING (103.9002930648021 1.4064525440131193, 103.9003564838804 1.406443629680259, 103.90047451813143 1.4064089782966098, 103.9006244507075 1.4063572841584142, 103.9006595024915 1.4063516218265397, 103.90068687427151 1.4063525733265465, 103.90074007507012 1.4063581869733557)",SZ2
2321,,BEDOK,"LINESTRING (103.92976424243409 1.3306357543637723, 103.92969767430786 1.3306228960309916, 103.92968188922404 1.3305952620222434, 103.92955061896295 1.3305615452791473, 103.92922418170478 1.330480544299588, 103.92888236007829 1.3303934900664558)",BEDOK NORTH
2322,,BEDOK,"LINESTRING (103.93022874029487 1.3307253114223483, 103.93010240218979 1.3306916343069104, 103.92986692310527 1.3306391263107276, 103.9298229058916 1.330646459716845, 103.92976424243409 1.3306357543637723)",BEDOK NORTH
2323,,BEDOK,"LINESTRING (103.93076548241523 1.3300471054203469, 103.93068582499959 1.3304454163942054, 103.93068999315025 1.3304850336703884, 103.93069912031766 1.3305219358510876)",BEDOK NORTH
2324,,BEDOK,"LINESTRING (103.93071666019449 1.3308221068878636, 103.93093271157778 1.3308726124087953)",BEDOK NORTH
2325,,BEDOK,"LINESTRING (103.93050617621881 1.331390238959697, 103.93059705052033 1.330881787856001)",BEDOK NORTH
2326,,BEDOK,"LINESTRING (103.92209562674228 1.3374178366954312, 103.92224808895546 1.3375286572636516, 103.92227655145926 1.3375480638650803, 103.92233611986997 1.3375825993313468, 103.92239299791548 1.3376147528010178, 103.92247334375584 1.3376515963446227, 103.92249634182886 1.3376625211184188, 103.9225106417179 1.3376693404001305, 103.92258985066545 1.337700067771393, 103.92270817053505 1.337739329993099, 103.9228787384931 1.3377941218279503, 103.92299732177926 1.3378369924353093)",BEDOK RESERVOIR
2327,,BEDOK,"LINESTRING (103.92435140679868 1.33820974255406, 103.92476956819235 1.338297493560307)",BEDOK RESERVOIR
2328,,BEDOK,"LINESTRING (103.92667290015005 1.333108732641008, 103.92683431132323 1.333157027620736, 103.92688499173339 1.3331589528818504)",BEDOK NORTH
2329,,BEDOK,"LINESTRING (103.92755828931124 1.333393422127595, 103.9280345030913 1.3335319720956362)",BEDOK NORTH
2330,,HOUGANG,"LINESTRING (103.8926426118645 1.3757229443162438, 103.89263537244935 1.376029455982707, 103.89261065092771 1.3762113087774714, 103.89261375884861 1.3763835266889328, 103.89261014949672 1.3764285505285252, 103.89259257619227 1.3764679839406193, 103.89256762278012 1.376502058277479, 103.8925451805031 1.3765209717974347)",TRAFALGAR
2331,,HOUGANG,"LINESTRING (103.8926654385474 1.3774418995743958, 103.8926527848357 1.3771507354624515, 103.89265069152951 1.3770929258712474, 103.89264232173194 1.3770366475249538, 103.89261323993018 1.376984119189059, 103.89259317348962 1.376967236124306)",TRAFALGAR
2332,,TAMPINES,"LINESTRING (103.94109216595908 1.3590562548698282, 103.94113068234725 1.3590632022637683, 103.94123367800705 1.3590715195819654, 103.94141379123752 1.3591010913751473, 103.9416211764259 1.3591018444053242, 103.9417124767952 1.3590995802819044, 103.94177323155301 1.3591017878002978, 103.94181547785986 1.3591081643616134, 103.94185138329993 1.3591213655300765, 103.94188584594085 1.3591411848897355, 103.94191655706756 1.3591608524856453)",TAMPINES EAST
2333,,TAMPINES,"LINESTRING (103.94078322031007 1.3589294870077357, 103.94081940756523 1.3589556142367694, 103.94086306806946 1.3589791492267191, 103.94092098171478 1.3590050828514266, 103.94097794900571 1.3590272489417818)",TAMPINES EAST
2334,,TAMPINES,"LINESTRING (103.94071525249893 1.3588803017579523, 103.94074992308853 1.3589089902113696)",TAMPINES EAST
2335,,TAMPINES,"LINESTRING (103.941584226402 1.3567354063844608, 103.9412151638399 1.3571026620852926)",TAMPINES EAST
2336,,NOVENA,"LINESTRING (103.82577591172546 1.3211355952472106, 103.82577499967867 1.3211408740208264, 103.82576392117731 1.3212225173136234, 103.82584723419527 1.321481834180211)",MALCOLM
2337,,NOVENA,"LINESTRING (103.8259280220728 1.3218168734870601, 103.82600208374818 1.3220348264899122, 103.82601829886393 1.3220926308124334, 103.82604586531605 1.3221789778206272, 103.8261433379639 1.3223788625867634, 103.82616295144963 1.3224237607304388, 103.82619478698228 1.3224938400381736, 103.82625633927474 1.3226304689110833, 103.82625964682458 1.3226389536695526, 103.82632153056853 1.322818934164602)",MALCOLM
2338,,NOVENA,"LINESTRING (103.82688824512056 1.3239487846664757, 103.82686787496368 1.3239286570740458, 103.82662759224705 1.3234507440415284)",MALCOLM
2339,,BUKIT PANJANG,"LINESTRING (103.76348358449003 1.3777024465396377, 103.76350478795271 1.3777077946667422, 103.76361192574427 1.377736033862819, 103.76369421643948 1.3777562804627483)",BUKIT PANJANG
2340,,GEYLANG,"LINESTRING (103.88864926146158 1.3082157600938664, 103.88849066174767 1.308184270928479, 103.88843768673738 1.3081730851130662, 103.88832430571452 1.3081499865337767, 103.88828239997842 1.3081418545091776)",ALJUNIED
2341,,YISHUN,"LINESTRING (103.83942912389546 1.415849109785031, 103.83935006385958 1.415660951651355)",YISHUN SOUTH
2342,,YISHUN,"LINESTRING (103.830153553289 1.4103145782828221, 103.83019599896357 1.4102532724112964, 103.83023066912922 1.4102262057486532, 103.8302582098965 1.4102138141902314, 103.83028672292508 1.41020761843036, 103.83032884502774 1.4102053358707816, 103.83053362191258 1.4102017494201518, 103.83063989853046 1.4102037056856283, 103.8308106540526 1.410211206672955, 103.8309771970015 1.410223598443786, 103.8310744014908 1.4102353380895087, 103.8311861864278 1.4102513164987078, 103.83135402512582 1.4102829485871948, 103.83152996456789 1.4103279498824774, 103.83161064406512 1.4103514290414887, 103.83168322371279 1.4103745817165392, 103.83177524335775 1.4104084963337837)",YISHUN SOUTH
2343,,JURONG WEST,"LINESTRING (103.72452222158876 1.3377843470358861, 103.72431314415572 1.3381373521295372)",TAMAN JURONG
2344,,JURONG WEST,"LINESTRING (103.72106038794035 1.3356363972038596, 103.72083383234816 1.3356355330600624)",TAMAN JURONG
2345,,JURONG WEST,"LINESTRING (103.72133030977344 1.3342444062201426, 103.72164588350472 1.3342417211337996)",TAMAN JURONG
2346,,JURONG WEST,"LINESTRING (103.72403063065411 1.334457448019078, 103.72403667614263 1.3344573189654985, 103.72370520407726 1.3344631110362912, 103.72369141170509 1.3344730629312644)",TAMAN JURONG
2347,,JURONG WEST,"LINESTRING (103.72408642733788 1.3390124541352717, 103.72390358469816 1.339329726263589, 103.72352201167755 1.3399888231994035, 103.72347914746545 1.3400563753608112, 103.72338740939439 1.3401933894235432)",JURONG LAKE
2348,,JURONG WEST,"LINESTRING (103.72198289627192 1.3441062428561719, 103.72197799542217 1.344326821230731, 103.72198036629537 1.344514691850654, 103.72201403122584 1.3446644260246385)",JURONG LAKE
2349,,JURONG WEST,"LINESTRING (103.72185448574878 1.3455548262279793, 103.72191558570208 1.3454031791602725, 103.72194565074301 1.3453605977171335, 103.72197980498035 1.3453212649323163, 103.72201770514646 1.3452855750920703, 103.72205896843863 1.3452538881150118, 103.72210317970797 1.3452265241263814)",HONG KAH
2350,,JURONG WEST,"LINESTRING (103.72180028097294 1.3456748742719145, 103.72185569262028 1.345552494836313)",HONG KAH
2351,,TAMPINES,"LINESTRING (103.93895626669119 1.3556400477528787, 103.93894034456837 1.3545709676613649)",TAMPINES WEST
2352,,TAMPINES,"LINESTRING (103.92878963350647 1.3490541521209352, 103.9288081344366 1.3490887197687202, 103.92928081056122 1.3499718695681546)",TAMPINES WEST
2353,,TAMPINES,"LINESTRING (103.9328090881232 1.3563795523406903, 103.93275627424649 1.3563825380182282, 103.93272210953141 1.3563724259387178, 103.93223372233201 1.3554946179510403, 103.93174892585196 1.3546314585579862, 103.93146514214727 1.3541099519921234, 103.93120689632293 1.3536256245196978, 103.93117651713123 1.3535665084429291, 103.93117553729363 1.3535340110996426)",TAMPINES WEST
2354,,PUNGGOL,"LINESTRING (103.90653085151499 1.3990979375959811, 103.90666829682168 1.3989889014265953, 103.90682018457865 1.3988951792830016, 103.90682983155429 1.3988892246509061, 103.90687338643002 1.3988532151479753, 103.90694891928169 1.3987945322467936, 103.90696054124064 1.3987855009078387, 103.907058056269 1.398704640512069, 103.90708141182763 1.3986935794103514, 103.90710433600748 1.3986805992630975, 103.9071257562005 1.3986752103888496, 103.90715240975469 1.3986707383732, 103.90719500790979 1.3986723178516147)",SZ4
2355,,JURONG WEST,"LINESTRING (103.72080389760936 1.33840367581452, 103.72087155790477 1.3384464589139937)",TAMAN JURONG
2356,,JURONG WEST,"LINESTRING (103.72349735828934 1.332435196349011, 103.72345535969801 1.3325395814557892, 103.72340917252012 1.3326939242838358)",TAMAN JURONG
2357,,JURONG WEST,"LINESTRING (103.7236343657766 1.3315745519700144, 103.72353803985409 1.331654995256672, 103.72353381559387 1.3319427497771044, 103.72354525075566 1.332162607241236)",TAMAN JURONG
2358,,JURONG WEST,"LINESTRING (103.72126175478004 1.3318727305688367, 103.7212043356515 1.331925443250047, 103.72114828242351 1.3321150313059902, 103.72107457157163 1.3322872638275383, 103.72105028125924 1.3323397284184333, 103.7210224632836 1.332410614717792, 103.720895447542 1.3326400068461761, 103.72064120720218 1.3331057772689163, 103.72053157775088 1.3333105850692024, 103.7204494282462 1.3334091116066846)",TAMAN JURONG
2359,,JURONG WEST,"LINESTRING (103.72181485168163 1.3356335052521273, 103.72196236868226 1.335690020190211)",TAMAN JURONG
2360,,JURONG WEST,"LINESTRING (103.72167387926594 1.335608081694141, 103.72177460069935 1.335617195039161)",TAMAN JURONG
2361,,BUKIT PANJANG,"LINESTRING (103.7730253868971 1.373488211889573, 103.77298758252913 1.3735112514047065, 103.77289519644889 1.3735620408369817)",DAIRY FARM
2362,,BUKIT PANJANG,"LINESTRING (103.77419737104437 1.3723119010259859, 103.77408516660243 1.372527146759916, 103.77402620417725 1.3726366040549862, 103.77400401201879 1.372679243348846, 103.77394322593295 1.372770622363956, 103.7739010202877 1.3728339548083013, 103.77388760679426 1.3728551780818326, 103.77380969396114 1.3729455175504612, 103.77378604741347 1.3729718230913572, 103.77374173332768 1.3730144157052122, 103.77369257322073 1.3730580491192248, 103.77362879581035 1.3731115849480755, 103.77357504868982 1.373147327670265, 103.77348818781466 1.3732035244568614, 103.7732661635774 1.373343177035746)",DAIRY FARM
2363,,BUKIT PANJANG,"LINESTRING (103.77463172604008 1.3714908109635857, 103.77470937252816 1.371338489075219, 103.77478270283702 1.3711999749040154, 103.77483407135077 1.3710914136236791, 103.77487598384648 1.370960554115647, 103.77489924309145 1.3708966396793512, 103.77494736218428 1.3707583582081784, 103.77497895922663 1.3706586284554132, 103.77502317653465 1.370490775094108, 103.77506156006318 1.370333511688938, 103.77507348818223 1.3702756345055511, 103.77507424399015 1.3702338682900461)",DAIRY FARM
2364,,BUKIT PANJANG,"LINESTRING (103.77463159663986 1.371491060564797, 103.77437505997361 1.3719756132433438, 103.77434714998344 1.3720280095802995)",DAIRY FARM
2365,,QUEENSTOWN,"LINESTRING (103.77906697897107 1.3117271205303191, 103.77939219747068 1.3122514382426467)",SINGAPORE POLYTECHNIC
2366,,TAMPINES,"LINESTRING (103.93953210461977 1.3584776470584403, 103.93952134463143 1.3584850397959158, 103.93945308098067 1.3585537499696732, 103.9394170485175 1.3585944596452, 103.93938091478566 1.3586413687318266, 103.93934259610656 1.358696615235269, 103.93932312920148 1.3587286784696335, 103.93930698702049 1.3587615482487245)",TAMPINES EAST
2367,,JURONG WEST,"LINESTRING (103.72486236718302 1.352466208206235, 103.72453574270753 1.3525821318986901)",HONG KAH
2368,,ANG MO KIO,"LINESTRING (103.83711334212917 1.3663341453606626, 103.83714955821995 1.366437677833772)",SHANGRI-LA
2369,,ANG MO KIO,"LINESTRING (103.83729832356023 1.3670084571766703, 103.83734200838634 1.3669967112200647, 103.83732778488456 1.366967530120832)",SHANGRI-LA
2370,,ANG MO KIO,"LINESTRING (103.83910023973357 1.3677036537149752, 103.8395843823041 1.3675406806224402, 103.84025506943013 1.3673105361437956)",SHANGRI-LA
2371,,ANG MO KIO,"LINESTRING (103.84025506943013 1.3673105361437956, 103.84033758585664 1.367275443855045)",SHANGRI-LA
2372,,TAMPINES,"LINESTRING (103.93875606034122 1.3602421492001346, 103.93900608143689 1.360237599199221, 103.93903724054195 1.3602274273618298, 103.93907557621031 1.3602108893978038, 103.93911035883642 1.3601917171810625, 103.93913676464406 1.3601635270274817, 103.93913708272137 1.3601631878773992)",TAMPINES EAST
2373,,TAMPINES,"LINESTRING (103.93822873680959 1.3602514673645512, 103.93827035493695 1.3602555713510613, 103.93830595513595 1.3602541987789387, 103.93838023390633 1.3602488624988027, 103.93863102420057 1.360244826181259, 103.93875606034122 1.3602421492001346)",TAMPINES EAST
2374,,JURONG WEST,"LINESTRING (103.71761520250602 1.348436315715106, 103.71759480990526 1.348241135204664, 103.71759237707808 1.3480788553599619)",HONG KAH
2375,,PASIR RIS,"LINESTRING (103.94906382617204 1.371045688021579, 103.94906389807376 1.3710460253452652, 103.94906063806235 1.3710272464181164, 103.94906395278832 1.3710065562533813, 103.94907150448361 1.370990380459745, 103.94908846936552 1.3709695910554698, 103.94915059241106 1.370923517097637, 103.94933805035232 1.3707801791842542, 103.94948921867643 1.3706742519804394)",PASIR RIS TOWN
2376,,PASIR RIS,"LINESTRING (103.94954080197284 1.3706381066185251, 103.94975404814494 1.3705000072925158, 103.94975649307679 1.3704984806091878)",PASIR RIS TOWN
2377,,PASIR RIS,"LINESTRING (103.96194779671134 1.369117915141456, 103.9619358367766 1.3686457221584507)",PASIR RIS DRIVE
2378,,PASIR RIS,"LINESTRING (103.96196618424683 1.3684966536271728, 103.96191995789086 1.3683364348261828)",PASIR RIS DRIVE
2379,,PASIR RIS,"LINESTRING (103.96197130643642 1.368250290670483, 103.96204320052647 1.3682278902652394, 103.96232049361343 1.367952224838638, 103.96236670673265 1.3678643581444359)",PASIR RIS DRIVE
2380,,PASIR RIS,"LINESTRING (103.96302228378272 1.3672337715704284, 103.96351696136368 1.3667375736750331, 103.96357687284605 1.3667289563587968)",PASIR RIS DRIVE
2381,,TAMPINES,"LINESTRING (103.93837950894218 1.3508281462035816, 103.9383580397851 1.3507904894661473, 103.9383290946748 1.3507337654660176, 103.93825711108732 1.3505497940484303)",TAMPINES WEST
2382,,YISHUN,"LINESTRING (103.83965444185249 1.4164257225728134, 103.83962852012615 1.4163671696016156)",YISHUN SOUTH
2383,,YISHUN,"LINESTRING (103.83681950626416 1.429567932682269, 103.83680044436758 1.4295404870779984)",YISHUN CENTRAL
2384,,JURONG WEST,"LINESTRING (103.71472345686588 1.348841027098803, 103.71473474730932 1.3488404352950734, 103.71475722787855 1.3489254338110608, 103.71479602923166 1.3489872362289925, 103.71482957317876 1.3490289977158134, 103.71544154173854 1.349529504559262, 103.71560250640597 1.3496405075296969, 103.71570601962983 1.3496987734120196)",HONG KAH
2385,,JURONG WEST,"LINESTRING (103.71672959672783 1.3501856395658736, 103.71678828264157 1.35022376580096, 103.71707201042673 1.3503397060907778, 103.71711601193854 1.3503425741329975, 103.71715550673004 1.3503356902161485, 103.71718727755999 1.3503083682376888)",HONG KAH
