,PLANNING_A,PLANNING_1,geometry,within
105,,JURONG EAST,"LINESTRING (103.73153714952181 1.347991095161919, 103.73154080012664 1.3479970668244903, 103.73155683352213 1.3479880609475794, 103.73159411048226 1.3479841430057558, 103.73167034921451 1.3479977179856288, 103.73182545317252 1.3480249403975546)",BOON LAY
106,,JURONG EAST,"LINESTRING (103.73180833446932 1.3479000715636196, 103.7316321613276 1.3478665222465673, 103.73159698594512 1.3478525935776537, 103.73156293898259 1.3478211827142257)",BOON LAY
107,,DOWNTOWN CORE,"LINESTRING (103.86181490184904 1.2737632600012547, 103.86217381848358 1.2735329685124666)",STRAITS VIEW
108,,DOWNTOWN CORE,"LINESTRING (103.85630884817577 1.2751749068573721, 103.85638312402371 1.2751913222209288, 103.85677225769493 1.2757964310490029, 103.85675605775995 1.2758713388376746)",CENTRAL SUBZONE
109,,DOWNTOWN CORE,"LINESTRING (103.85152753700469 1.2769310845592763, 103.85141360573918 1.2770049349033308, 103.85105084104474 1.2772405245075737, 103.8509761832914 1.2772241777240998)",CENTRAL SUBZONE
110,,DOWNTOWN CORE,"LINESTRING (103.84790416126677 1.2824061438650658, 103.84728045500097 1.282751270190326, 103.8472255749094 1.2827458280227673)",CHINATOWN
111,,DOWNTOWN CORE,"LINESTRING (103.87021039745943 1.2794104958204364, 103.87041477121498 1.2796315783868093, 103.87060670307706 1.2796745039737998, 103.87087682787175 1.2796816544391294, 103.87106875926395 1.279753197709133, 103.87117894231304 1.2798050677244046, 103.87118449637799 1.2798189297447924, 103.87118605106461 1.2798336862412982, 103.87118072028271 1.279850230769159, 103.87117272350321 1.2798643172732223, 103.87098168512115 1.2801538597116986, 103.87097568768091 1.2801744286721297, 103.87097280008017 1.2801949984909888, 103.87097124589332 1.2802144504952966, 103.87097280065402 1.2802343492098769, 103.87102671091175 1.2804654949983842)",MARINA SOUTH
112,,CLEMENTI,"LINESTRING (103.765898240848 1.3181128936955882, 103.76590085887709 1.317858572128299)",CLEMENTI NORTH
113,,CLEMENTI,"LINESTRING (103.76721899094247 1.3205011296217297, 103.76705573403008 1.3203295999444289)",CLEMENTI NORTH
114,,BEDOK,"LINESTRING (103.92812108564618 1.3335663128433297, 103.92818398505659 1.3336029705806964, 103.92840317209503 1.3336634576459403, 103.92874698256313 1.3337476748469235, 103.9290508523276 1.3338108246098508, 103.92916555658448 1.3338342404138335)",BEDOK NORTH
115,,BEDOK,"LINESTRING (103.93943469708591 1.330977550485476, 103.93944446901645 1.3309600334551277, 103.93954438816337 1.3307892446933907, 103.93964642109931 1.3305438929149576, 103.93969928561862 1.3303310316036898, 103.93994373493426 1.329081675138741)",BEDOK NORTH
116,,BEDOK,"LINESTRING (103.94001280195343 1.3287809641999315, 103.9400190297402 1.3287369965124853, 103.94003971185413 1.3286975147417608, 103.94005716788334 1.3285887742782054, 103.94005583935342 1.3285359957102625, 103.94007361081837 1.3284701753973422)",BEDOK NORTH
117,,BEDOK,"LINESTRING (103.95080132377475 1.3294600667605596, 103.95125308056855 1.3298191485121558, 103.95131682593946 1.3298227285318076)",BEDOK NORTH
118,,BEDOK,"LINESTRING (103.9502119157691 1.3289836060981206, 103.95006271208031 1.328873466342698, 103.94993095669751 1.3287863879017447, 103.94985301859009 1.3287612711191923, 103.94980337958233 1.3287565554144714, 103.94974540055593 1.3287594041939716, 103.94970403700003 1.3287690765056115)",BEDOK NORTH
119,,BEDOK,"LINESTRING (103.93442911000224 1.3313773639809157, 103.9344242060933 1.3313652059249481, 103.9344338852723 1.3312977129030255, 103.93445993696116 1.3311626687036033, 103.93448991536056 1.331006278658251, 103.9344964164483 1.3310073708606032, 103.93452970278054 1.3308376856355568)",BEDOK NORTH
120,,JURONG EAST,"LINESTRING (103.74036692727205 1.3369304651811198, 103.74026084553316 1.3369036585207648, 103.74014858013454 1.3368236868126613)",JURONG REGIONAL CENTRE
