Description,Latitude,Longitude,RackType,RackCount,ShelterIndicator
160116-1,1.2813190142210447,103.82660359811739,HDB_RACKS,8,N
160147-1,1.2774603875428696,103.8310787179852,HDB_RACKS,3,N
160147-2,1.2771896245171415,103.83102898752172,HDB_RACKS,4,N
160149-1,1.2771958819660698,103.83218367704698,HDB_RACKS,2,N
160149-2,1.2773825787081592,103.83142856697222,HDB_RACKS,3,N
160149-3,1.2772861855213506,103.83168858344949,HDB_RACKS,7,N
160150-1,1.2773071275711165,103.831471804721,HDB_RACKS,4,N
BUKIT MERAH CENTRAL BLOCK 166_YB,1.2828667287404119,103.81761524817436,Yellow Box,11,Y
BUKIT MERAH VIEW BLOCK 129_A_YB,1.283743150248195,103.82413168954601,Yellow Box,16,Y
BUKIT MERAH VIEW BLOCK 129_B_YB,1.2835335047827265,103.82407082494267,Yellow Box,16,Y
BUKIT PURMEI ROAD BLOCK 110_YB,1.2738763625642322,103.82699486831108,Yellow Box,12,Y
HOY FATT ROAD BLOCK 50_YB,1.2874511591773787,103.81097417531376,Yellow Box,11,Y
JALAN BUKIT MERAH BLOCK 117_YB,1.2816111743311311,103.82706047186873,Yellow Box,16,Y
JALAN BUKIT MERAH BLOCK 13_YB,1.2876557113933156,103.80720887090112,Yellow Box,12,Y
JALAN BUKIT MERAH BLOCK 134_A_YB,1.2791663054811393,103.82763159285021,Yellow Box,16,Y
JALAN BUKIT MERAH BLOCK 134_B_YB,1.278703452844483,103.82786964458515,Yellow Box,16,Y
JALAN BUKIT MERAH BLOCK 134_C_YB,1.2788658930293115,103.82759262168096,Yellow Box,18,Y
JALAN BUKIT MERAH BLOCK 136_YB,1.2780990200828608,103.82742600600054,Yellow Box,16,Y
JALAN BUKIT MERAH BLOCK 137_A_YB,1.278262378387519,103.8267578406712,Yellow Box,16,Y
JALAN BUKIT MERAH BLOCK 137_B_YB,1.2780581794314398,103.82714467350289,Yellow Box,16,Y
JALAN BUKIT MERAH BLOCK 138_YB,1.2784420728304215,103.82620329031391,Yellow Box,16,Y
JALAN BUKIT MERAH BLOCK 142_YB,1.2769079390599587,103.82832093538156,Yellow Box,14,Y
JALAN BUKIT MERAH BLOCK 145_YB,1.2773136196477954,103.83054995372022,Yellow Box,18,Y
JALAN MEMBINA BLOCK 118A_YB,1.281682680681671,103.82554994045917,Yellow Box,9,Y
JALAN MEMBINA BLOCK 118D_YB,1.2823796865253503,103.82677806537215,Yellow Box,9,Y
JALAN MEMBINA BLOCK 19_A_YB,1.2856728513229216,103.82645373311409,Yellow Box,16,Y
JALAN MEMBINA BLOCK 19_B_YB,1.285548969306952,103.82618727824683,Yellow Box,16,Y
JALAN MEMBINA BLOCK 20_YB,1.2855707499334577,103.82594381658136,Yellow Box,16,Y
JALAN MEMBINA BLOCK 21_A_YB,1.285146013951517,103.82588701010381,Yellow Box,16,Y
JALAN MEMBINA BLOCK 21_B_YB,1.2849499823198076,103.82598439528992,Yellow Box,16,Y
JALAN MEMBINA BLOCK 22_A_YB,1.2849853781726213,103.82641180546467,Yellow Box,16,Y
JALAN MEMBINA BLOCK 22_B_YB,1.2847621200820551,103.82659034451983,Yellow Box,16,Y
JALAN MEMBINA BLOCK 23_A_YB,1.2848846403817809,103.82672424804574,Yellow Box,16,Y
JALAN MEMBINA BLOCK 23_B_YB,1.284771650614438,103.82705968422144,Yellow Box,16,Y
JALAN MEMBINA BLOCK 25A_YB,1.2835478104210718,103.82628061068121,Yellow Box,14,Y
JALAN MEMBINA BLOCK 25B_YB,1.2835178587436804,103.82547718810852,Yellow Box,16,Y
JALAN MEMBINA BLOCK 26_YB,1.2826670260349218,103.82556510729539,Yellow Box,14,Y
JALAN MEMBINA BLOCK 26A_YB,1.2830413937655936,103.82597493279813,Yellow Box,13,Y
JALAN MEMBINA BLOCK 26B_YB,1.2830577291030634,103.8257517598317,Yellow Box,16,Y
JALAN MEMBINA BLOCK 26C_YB,1.2826098490075037,103.82522831930235,Yellow Box,13,Y
JALAN MEMBINA BLOCK 26D_YB,1.2822872129110825,103.82515663449185,Yellow Box,16,Y
JALAN MEMBINA BLOCK 27A_YB,1.2822518162718193,103.82456015444305,Yellow Box,14,Y
JALAN MEMBINA BLOCK 27B_YB,1.283090398279567,103.82486177317267,Yellow Box,14,Y
JALAN TIONG BLOCK 75C,1.2892110331266535,103.8164296426061,HDB_RACKS,6,Y
KIM TIAN PLACE BLOCK 127C_YB,1.2816050943724462,103.82995523640533,Yellow Box,7,Y
KIM TIAN PLACE BLOCK 128_YB,1.2816295966988898,103.82887453900858,Yellow Box,10,Y
KIM TIAN PLACE BLOCK 131C_YB,1.2802464825073354,103.82883531711043,Yellow Box,13,Y
KIM TIAN ROAD BLOCK 120A_YB,1.2833503193086946,103.82783982509852,Yellow Box,12,Y
KIM TIAN ROAD BLOCK 121_YB,1.2826397048010696,103.8284268389287,Yellow Box,7,Y
KIM TIAN ROAD BLOCK 123_YB,1.2837750577097269,103.829200503107,Yellow Box,13,Y
KIM TIAN ROAD BLOCK 126C_YB,1.2824790688946464,103.8291923898097,Yellow Box,11,Y
KIM TIAN ROAD BLOCK 127A_YB,1.281941343254163,103.82972394776472,Yellow Box,7,Y
LENGKOK BAHRU BLOCK 63B_YB,1.2891846509678808,103.81536684032045,Yellow Box,14,Y
MEI LING STREET BLOCK 160_YB,1.2920621528419438,103.80420582668202,Yellow Box,11,Y
MEI LING STREET BLOCK 161_YB,1.2916183505697896,103.80353090055691,Yellow Box,14,Y
QUEEN'S CLOSE BLOCK 21_YB,1.2932268793956772,103.79977151478418,Yellow Box,18,Y
QUEEN'S CLOSE BLOCK 23B_YB,1.293701992972873,103.80042074144454,Yellow Box,15,Y
REDHILL CLOSE BLOCK 89_YB,1.285438503133279,103.81875985240367,Yellow Box,16,Y
STIRLING ROAD BLOCK 181_YB,1.2940388231591877,103.80558271917577,Yellow Box,9,Y
STRATHMORE AVENUE BLOCK 51_YB,1.2933049200965134,103.80868450608705,Yellow Box,11,Y
STRATHMORE AVENUE BLOCK 52_YB,1.2932259594417361,103.80834230704475,Yellow Box,11,Y
STRATHMORE AVENUE BLOCK 56_YB,1.2933853234118624,103.81014293736435,Yellow Box,12,Y
STRATHMORE AVENUE BLOCK 58_A_YB,1.29324716647925,103.81092647781017,Yellow Box,20,Y
STRATHMORE AVENUE BLOCK 58_B_YB,1.2932251948452962,103.81089168663945,Yellow Box,20,Y
STRATHMORE AVENUE BLOCK 59_A_YB,1.2932294699233824,103.81101304234431,Yellow Box,16,Y
STRATHMORE AVENUE BLOCK 59_B_YB,1.2931277763334188,103.81112315185229,Yellow Box,10,Y
STRATHMORE AVENUE BLOCK 60_A_YB,1.293038893103786,103.81214243856114,Yellow Box,11,Y
STRATHMORE AVENUE BLOCK 60_B_YB,1.2929994134792429,103.81202611801389,Yellow Box,20,Y
STRATHMORE AVENUE BLOCK 60_C_YB,1.2929844381800326,103.8119503743139,Yellow Box,10,Y
TELOK BLANGAH CRESCENT BLOCK 19_YB,1.2774791160270957,103.82278433952058,Yellow Box,11,Y
TELOK BLANGAH CRESCENT BLOCK 25_YB,1.2763866293755841,103.81924469540803,Yellow Box,11,Y
TELOK BLANGAH CRESCENT BLOCK 5_YB,1.278730163683952,103.8192264230712,Yellow Box,16,Y
TELOK BLANGAH RISE BLOCK 40_YB,1.2721011724928128,103.82324828859866,Yellow Box,16,Y
TELOK BLANGAH WAY BLOCK 34_YB,1.2735196782002658,103.82248003006006,Yellow Box,16,Y
BEACH CARPARK SENTOSA,1.250798995433922,103.81819940283405,Yellow Box,12,Y
BEACH CARPARK SENTOSA P2,1.2513319499295565,103.8178052186441,Yellow Box,6,Y
BUKIT MERAH VIEW BLOCK 119_YB,1.2835511882771502,103.82083955092568,Yellow Box,23,Y
CLARENCE LANE BLOCK 132_YB,1.2920513189549816,103.81509101863915,Yellow Box,21,Y
JALAN BUKIT MERAH BLOCK 141_YB,1.2771557028788134,103.828999920054,Yellow Box,27,Y
STIRLING ROAD BLOCK 181r,1.2941285046353508,103.80572098665684,HDB_RACKS,24,Y
140181-2,1.2940434107288195,103.80559146197646,HDB_RACKS,8,Y
SENTOSA GATEWAY,1.2566234982397722,103.82350593315182,Yellow Box,10,N
090015-3,1.2770814486509074,103.82104637589417,Yellow Box,10,Y
CHURCH OF ST TERESA,1.27391703165217,103.8282585234915,Yellow Box,16,N
COLLEGE ROAD,1.277811056695619,103.83206295063444,Yellow Box,6,N
HARBOURFRONT MRT YB_2,1.2659586821518642,103.82146942314534,Yellow Box,10,N
HARBOURFRONT WALK,1.2655061317764882,103.82038122057136,Yellow Box,10,N
JALAN MAT JAMBOL,1.2796296660269848,103.79127137393765,Yellow Box,10,N
LABRADOR PARK MRT YB_1,1.2722375166695439,103.80230577571902,Yellow Box,10,N
PASIR PANJANG MRT_YB,1.2759071690589574,103.79190613428094,Yellow Box,10,N
TANGLIN REGENCY,1.2916589105904897,103.815995454282,Yellow Box,10,N
TAXI STAND F40,1.2889648798771418,103.81743761908724,Yellow Box,10,N
COLLEGE ROAD ROUNDABOUT,1.2790226749246545,103.83301137703779,Yellow Box,11,N
HORTPARK (FLORA WALK),1.2800798478692046,103.80226956051662,Yellow Box,13,N
KENT RIDGE PARK,1.2847601673194418,103.78878725985021,Yellow Box,10,N
BUKIT MERAH LIBRARY,1.2844417273693702,103.8156880938469,NLB_RACKS,5,N
PALAWAN BEACH,1.2488031265934154,103.82248889490522,Yellow Box,4,N
SILOSO POINT,1.2570462950866186,103.81142415510526,Yellow Box,20,N
TANJONG BEACH,1.2432316528312282,103.82849981666693,Yellow Box,4,N
BUS STOP 10121,1.282730098789825,103.82897004191734,Yellow Box,21,N
BUS STOP 11131,1.2928834091784833,103.80709687715897,Yellow Box,23,N
BUS STOP 11539,1.2911400777302884,103.80790329269188,Yellow Box,23,N
BUS STOP 15041_A,1.2745238073556582,103.8018106683102,Yellow Box,33,N
BUS STOP 16019,1.2826920839755034,103.78230152915616,Yellow Box,23,N
BUS STOP 16039_R,1.2879141821200415,103.7787809467264,Yellow Box,10,N
HAW PAR VILLA MRT A,1.282902544852587,103.78223555279543,MRT_RACKS,80,N
KAMPONG BAHRU BT_1,1.2759954550887633,103.83113784105782,BI_RACKS,140,N
KAMPONG BAHRU BT_2,1.2760694600281013,103.8315132192956,BI_RACKS,160,N
LABRADOR PARK MRT A1,1.2720733015160377,103.80228796449138,MRT_RACKS,22,N
LABRADOR PARK MRT A2,1.2719907544603337,103.8026619264221,MRT_RACKS,48,N
LABRADOR PARK MRT A3,1.272008400161829,103.80276186383269,MRT_RACKS,5,N
PASIR PANJANG MRT A,1.275920135631112,103.79187882928504,MRT_RACKS,80,N
QUEENSTOWN MRT A,1.294340824415314,103.80585708210171,MRT_RACKS,20,N
REDHILL MRT B1,1.289358292044894,103.81733582406372,MRT_RACKS,20,N
REDHILL MRT B2,1.289402810530721,103.81735623840915,MRT_RACKS,12,N
TELOK BLANGAH MRT A,1.2707611682380264,103.80954847741613,MRT_RACKS,80,N
HORT PARK (PCN FROM KENT RIDGE),1.2781847495283247,103.80124880910427,NPARKS_RACKS,4,N
080101-1,1.2751910689964614,103.83601199232469,HDB_RACKS,6,Y
080101-2,1.275179554669073,103.83596623156511,HDB_RACKS,6,Y
080101-3,1.2753144377127232,103.83597440326146,HDB_RACKS,6,Y
080102-1,1.2747897093230456,103.83630616843433,HDB_RACKS,4,Y
080102-2,1.2747864196812289,103.83615908021345,HDB_RACKS,6,Y
080102-3,1.2746778551031992,103.83631270551595,HDB_RACKS,8,Y
080103-1,1.2747272036532942,103.83518993215928,HDB_RACKS,6,Y
080103-2,1.2746054798321556,103.83519320067695,HDB_RACKS,6,Y
080103-3,1.2746054797029742,103.83536316929764,HDB_RACKS,6,Y
080104-1,1.274506785212073,103.83477808492972,HDB_RACKS,6,Y
080104-2,1.2745133647129383,103.83497093396095,HDB_RACKS,6,Y
080104-3,1.2743686121397997,103.83497747107864,HDB_RACKS,6,Y
080105-1,1.273746834398827,103.83457216112068,HDB_RACKS,6,Y
080105-2,1.2737435445818637,103.83438911804993,HDB_RACKS,6,Y
080105-3,1.273885007257876,103.83457869839457,HDB_RACKS,6,Y
080105-4,1.2738718480225657,103.8343793122005,HDB_RACKS,6,Y
080106-1,1.2735066768800805,103.83396419662662,HDB_RACKS,6,Y
080106-2,1.2736382701279372,103.83395439075785,HDB_RACKS,6,Y
080106-3,1.2736547192974081,103.8341472396357,HDB_RACKS,6,Y
080107-1,1.2735264154409438,103.83501015684934,HDB_RACKS,6,Y
080107-2,1.2735231257514188,103.83481730789329,HDB_RACKS,6,Y
080107-3,1.2736645884185767,103.83482384527139,HDB_RACKS,6,Y
080107-4,1.2736711680129755,103.83500688833921,HDB_RACKS,6,Y
080109-1,1.2739771207935842,103.83656438893082,HDB_RACKS,6,Y
080109-2,1.2739705408573139,103.83674089479946,HDB_RACKS,6,Y
080109-3,1.2740988443022525,103.83673435766974,HDB_RACKS,6,Y
081110-1,1.2737040650852296,103.8363192416945,HDB_RACKS,6,Y
081110-2,1.273707354756129,103.83650882197212,HDB_RACKS,6,Y
081110-3,1.273572471611986,103.83650882180703,HDB_RACKS,6,Y
090001-1,1.2794358097668828,103.81773489376509,HDB_RACKS,12,Y
090008-1,1.2778301261561837,103.81956359983442,HDB_RACKS,2,Y
090013-1,1.278088957932442,103.82021602405942,HDB_RACKS,6,Y
090013-2,1.2782806855655742,103.82081130194251,HDB_RACKS,6,Y
090014-1,1.2776384057634955,103.82037556107737,HDB_RACKS,5,Y
090014-2,1.2774490787996022,103.82061486401733,HDB_RACKS,6,Y
090015-1,1.2771279417321,103.82097084222532,HDB_RACKS,6,Y
090015-2,1.2770045170289157,103.82057438729363,HDB_RACKS,6,Y
090016-1,1.2781225169382757,103.82171136440203,HDB_RACKS,5,Y
090017-1,1.2777726194573902,103.82172208094104,HDB_RACKS,6,Y
090018-1,1.278023064831311,103.82288287354926,HDB_RACKS,6,Y
090019-1,1.2774454930929906,103.82260666656884,HDB_RACKS,2,Y
